russisch,deutsch,transkription,wortart,niveau,beispiel
врач,der Arzt,wratsch,Substantiv,A1,Мне нужен врач. — Ich brauche einen Arzt.
язык,die Sprache; die Zunge,jisýk,Substantiv,A1,Я учу русский язык. — Ich lerne die russische Sprache.
слово,das Wort,slówa,Substantiv,A1,Это новое слово. — Das ist ein neues Wort.
вопрос,die Frage,waprós,Substantiv,A1,У меня есть вопрос. — Ich habe eine Frage.
письмо,der Brief,pismó,Substantiv,A1,Я пишу письмо другу. — Ich schreibe einem Freund einen Brief.
газета,die Zeitung,gasjéta,Substantiv,A1,Он читает газету. — Er liest die Zeitung.
деньги,das Geld,djéngi,Substantiv,A1,У меня мало денег. — Ich habe wenig Geld.
рубль,der Rubel,rubl,Substantiv,A1,Это стоит сто рублей. — Das kostet hundert Rubel.
магазин,"das Geschäft, der Laden",magasín,Substantiv,A1,Магазин закрыт. — Das Geschäft ist geschlossen.
квартира,die Wohnung,kwartíra,Substantiv,A1,Наша квартира небольшая. — Unsere Wohnung ist nicht groß.
комната,das Zimmer,kómnata,Substantiv,A1,В комнате два окна. — Im Zimmer sind zwei Fenster.
окно,das Fenster,aknó,Substantiv,A1,"Открой окно, пожалуйста. — Mach bitte das Fenster auf."
дверь,die Tür,dwjer,Substantiv,A1,Дверь закрыта. — Die Tür ist zu.
стол,der Tisch,stol,Substantiv,A1,Книга на столе. — Das Buch liegt auf dem Tisch.
улица,die Straße,úlitsa,Substantiv,A1,Мы гуляем по улице. — Wir spazieren durch die Straße.
страна,das Land,straná,Substantiv,A1,Россия — большая страна. — Russland ist ein großes Land.
машина,das Auto,maschýna,Substantiv,A1,Это его машина. — Das ist sein Auto.
автобус,der Bus,aftóbus,Substantiv,A1,Автобус идёт в центр. — Der Bus fährt ins Zentrum.
поезд,der Zug,pójest,Substantiv,A1,Поезд опаздывает. — Der Zug hat Verspätung.
билет,"die Fahrkarte, das Ticket",biljét,Substantiv,A1,Мне нужен билет. — Ich brauche eine Fahrkarte.
телефон,"das Telefon, das Handy",tilifón,Substantiv,A1,Мой телефон не работает. — Mein Handy funktioniert nicht.
чай,der Tee,tschaj,Substantiv,A1,Хочешь чай? — Möchtest du Tee?
кофе,der Kaffee,kófje,Substantiv,A1,Я пью кофе без сахара. — Ich trinke Kaffee ohne Zucker.
молоко,die Milch,malakó,Substantiv,A1,"Купи молоко, пожалуйста. — Kauf bitte Milch."
суп,die Suppe,sup,Substantiv,A1,Суп очень вкусный. — Die Suppe ist sehr lecker.
мясо,das Fleisch,mjássa,Substantiv,A1,Я не ем мясо. — Ich esse kein Fleisch.
сыр,der Käse,syr,Substantiv,A1,На столе хлеб и сыр. — Auf dem Tisch sind Brot und Käse.
яблоко,der Apfel,jáblaka,Substantiv,A1,Дай мне яблоко. — Gib mir einen Apfel.
собака,der Hund,sabáka,Substantiv,A1,Наша собака большая. — Unser Hund ist groß.
кошка,die Katze,kóschka,Substantiv,A1,Кошка спит на диване. — Die Katze schläft auf dem Sofa.
погода,das Wetter,pagóda,Substantiv,A1,Какая сегодня погода? — Wie ist heute das Wetter?
музыка,die Musik,músyka,Substantiv,A1,Я люблю русскую музыку. — Ich mag russische Musik.
фильм,der Film,film,Substantiv,A1,Это очень хороший фильм. — Das ist ein sehr guter Film.
рука,"die Hand, der Arm",ruká,Substantiv,A1,У меня болит рука. — Mir tut die Hand weh.
голова,der Kopf,galawá,Substantiv,A1,У меня болит голова. — Ich habe Kopfschmerzen.
глаз,das Auge,glas,Substantiv,A1,У неё зелёные глаза. — Sie hat grüne Augen.
быть,sein,byt,Verb,A1,Я хочу быть врачом. — Ich möchte Arzt sein.
говорить,"sprechen, sagen",gawarít,Verb,A1,Я говорю по-русски. — Ich spreche Russisch.
читать,lesen,tschitát,Verb,A1,Она читает журнал. — Sie liest eine Zeitschrift.
писать,schreiben,pisát,Verb,A1,Я пишу письмо. — Ich schreibe einen Brief.
работать,arbeiten,rabótat,Verb,A1,Где ты работаешь? — Wo arbeitest du?
жить,"leben, wohnen",schyt,Verb,A1,Мы живём в Берлине. — Wir wohnen in Berlin.
знать,"wissen, kennen",snat,Verb,A1,Я не знаю. — Ich weiß nicht.
делать,"machen, tun",djélat,Verb,A1,Что ты делаешь? — Was machst du?
идти,gehen,ittí,Verb,A1,Я иду домой. — Ich gehe nach Hause.
ехать,fahren,jéchat,Verb,A1,Мы едем в Москву. — Wir fahren nach Moskau.
хотеть,"wollen, möchten",chatjét,Verb,A1,Я хочу есть. — Ich möchte essen.
мочь,können,motsch,Verb,A1,Я не могу прийти. — Ich kann nicht kommen.
любить,"lieben, mögen",ljubít,Verb,A1,Я люблю музыку. — Ich liebe Musik.
понимать,verstehen,panimát,Verb,A1,Ты меня понимаешь? — Verstehst du mich?
есть,essen,jest,Verb,A1,Мы едим суп. — Wir essen Suppe.
пить,trinken,pit,Verb,A1,Он пьёт кофе. — Er trinkt Kaffee.
смотреть,"schauen, ansehen",smatrjét,Verb,A1,Мы смотрим фильм. — Wir schauen einen Film.
видеть,sehen,wídit,Verb,A1,Я вижу твой дом. — Ich sehe dein Haus.
слушать,"zuhören, hören",slúschat,Verb,A1,Она слушает музыку. — Sie hört Musik.
спрашивать,fragen,spráschiwat,Verb,A1,Я спрашиваю дорогу. — Ich frage nach dem Weg.
отвечать,antworten,atwitschát,Verb,A1,Он не отвечает. — Er antwortet nicht.
покупать,kaufen,pakupát,Verb,A1,Мы покупаем продукты. — Wir kaufen Lebensmittel.
давать,geben,dawát,Verb,A1,Дай мне книгу. — Gib mir das Buch.
брать,nehmen,brat,Verb,A1,Я беру этот билет. — Ich nehme dieses Ticket.
ждать,warten,schdat,Verb,A1,Я жду автобус. — Ich warte auf den Bus.
помогать,helfen,pamagát,Verb,A1,Он всегда мне помогает. — Er hilft mir immer.
спать,schlafen,spat,Verb,A1,Ребёнок спит. — Das Kind schläft.
играть,spielen,igrát,Verb,A1,Дети играют во дворе. — Die Kinder spielen im Hof.
гулять,spazieren gehen,gulját,Verb,A1,Мы гуляем в парке. — Wir spazieren im Park.
учить,lernen; lehren,utschít,Verb,A1,Я учу новые слова. — Ich lerne neue Wörter.
звонить,anrufen,swanít,Verb,A1,Позвони мне вечером. — Ruf mich am Abend an.
открывать,öffnen,atkrywát,Verb,A1,Магазин открывают в девять. — Der Laden wird um neun geöffnet.
закрывать,schließen,sakrywát,Verb,A1,"Закрой дверь, пожалуйста. — Mach bitte die Tür zu."
стоить,kosten,stóit,Verb,A1,Сколько стоит билет? — Was kostet die Fahrkarte?
нравиться,gefallen,nráwitsa,Verb,A1,Мне нравится этот город. — Mir gefällt diese Stadt.
большой,groß,balschój,Adjektiv,A1,Это большой дом. — Das ist ein großes Haus.
маленький,klein,málinkij,Adjektiv,A1,У неё маленькая собака. — Sie hat einen kleinen Hund.
хороший,gut,charóschij,Adjektiv,A1,Он хороший человек. — Er ist ein guter Mensch.
плохой,schlecht,plachój,Adjektiv,A1,Сегодня плохая погода. — Heute ist schlechtes Wetter.
новый,neu,nówyj,Adjektiv,A1,У меня новый телефон. — Ich habe ein neues Handy.
старый,alt,stáryj,Adjektiv,A1,Это старый город. — Das ist eine alte Stadt.
молодой,jung,maladój,Adjektiv,A1,Он ещё молодой. — Er ist noch jung.
красивый,"schön, hübsch",krasívyj,Adjektiv,A1,Какой красивый вид! — Was für eine schöne Aussicht!
тёплый,warm,tjóplyj,Adjektiv,A1,Сегодня тёплый день. — Heute ist ein warmer Tag.
холодный,kalt,chalódnyj,Adjektiv,A1,Вода очень холодная. — Das Wasser ist sehr kalt.
дорогой,teuer; lieb,daragój,Adjektiv,A1,Этот билет слишком дорогой. — Diese Fahrkarte ist zu teuer.
дешёвый,"billig, günstig",dischówyj,Adjektiv,A1,Здесь всё дешёвое. — Hier ist alles günstig.
вкусный,lecker,fkúsnyj,Adjektiv,A1,Это очень вкусный суп. — Das ist eine sehr leckere Suppe.
интересный,interessant,intirjésnyj,Adjektiv,A1,Это интересная книга. — Das ist ein interessantes Buch.
трудный,"schwer, schwierig",trúdnyj,Adjektiv,A1,Русский язык трудный. — Die russische Sprache ist schwer.
русский,russisch,rússkij,Adjektiv,A1,Он русский студент. — Er ist ein russischer Student.
немецкий,deutsch,nimjétskij,Adjektiv,A1,Я читаю немецкий текст. — Ich lese einen deutschen Text.
сейчас,"jetzt, gerade",sitschás,Adverb,A1,Я сейчас занят. — Ich bin gerade beschäftigt.
всегда,immer,fsigdá,Adverb,A1,Он всегда опаздывает. — Er kommt immer zu spät.
очень,sehr,ótschin,Adverb,A1,Это очень вкусно. — Das ist sehr lecker.
быстро,schnell,býstra,Adverb,A1,Ты говоришь слишком быстро. — Du sprichst zu schnell.
медленно,langsam,mjédlinna,Adverb,A1,"Говорите медленно, пожалуйста. — Sprechen Sie bitte langsam."
хорошо,gut,charaschó,Adverb,A1,Она хорошо поёт. — Sie singt gut.
плохо,schlecht,plócha,Adverb,A1,Я плохо сплю. — Ich schlafe schlecht.
сегодня,heute,sivódnja,Adverb,A1,Сегодня я дома. — Heute bin ich zu Hause.
завтра,morgen,sáftra,Adverb,A1,Завтра у меня экзамен. — Morgen habe ich eine Prüfung.
вчера,gestern,ftschirá,Adverb,A1,Вчера было холодно. — Gestern war es kalt.
здесь,hier,sdjes,Adverb,A1,Я живу здесь. — Ich wohne hier.
там,dort,tam,Adverb,A1,Там мой автобус. — Dort ist mein Bus.
много,viel,mnóga,Adverb,A1,Он много работает. — Er arbeitet viel.
мало,wenig,mála,Adverb,A1,У нас мало времени. — Wir haben wenig Zeit.
тоже,auch,tósche,Adverb,A1,Я тоже студент. — Ich bin auch Student.
потом,"danach, später",patóm,Adverb,A1,"Сначала работа, потом отдых. — Erst die Arbeit, dann die Erholung."
рано,früh,rána,Adverb,A1,Я встаю рано. — Ich stehe früh auf.
поздно,spät,pósna,Adverb,A1,Уже поздно. — Es ist schon spät.
где,wo,gdje,Adverb,A1,Где ты живёшь? — Wo wohnst du?
когда,wann,kagdá,Adverb,A1,Когда начинается фильм? — Wann beginnt der Film?
почему,warum,patschimú,Adverb,A1,Почему ты не пришёл? — Warum bist du nicht gekommen?
сколько,wie viel,skólka,Adverb,A1,Сколько это стоит? — Wie viel kostet das?
Здравствуйте!,Guten Tag! (höflich),sdrástwujtje,Wendung,A1,"Здравствуйте, как дела? — Guten Tag, wie geht es Ihnen?"
Доброе утро!,Guten Morgen!,dóbraje útra,Wendung,A1,"Доброе утро, Анна! — Guten Morgen, Anna!"
Добрый вечер!,Guten Abend!,dóbryj wjétschir,Wendung,A1,"Добрый вечер, проходите! — Guten Abend, kommen Sie herein!"
Привет!,Hallo! (informell),priwjét,Wendung,A1,"Привет, как ты? — Hallo, wie geht's dir?"
Пока!,Tschüss!,paká,Wendung,A1,"Пока, до завтра! — Tschüss, bis morgen!"
Спасибо!,Danke!,spasíba,Wendung,A1,Спасибо большое! — Vielen Dank!
Пожалуйста!,Bitte!,paschálusta,Wendung,A1,"Пожалуйста, помогите мне. — Bitte helfen Sie mir."
Как дела?,Wie geht es dir?,kak dilá,Wendung,A1,"Привет, как дела? — Hallo, wie geht es dir?"
До свидания!,Auf Wiedersehen!,da swidánija,Wendung,A1,"До свидания, до завтра! — Auf Wiedersehen, bis morgen!"
Извините!,Entschuldigung! (höflich),iswinítje,Wendung,A1,"Извините, я не понимаю. — Entschuldigung, ich verstehe nicht."
Меня зовут…,Ich heiße…,minjá sawút,Wendung,A1,Меня зовут Анна. — Ich heiße Anna.
Очень приятно!,Sehr angenehm!,ótschin prijátna,Wendung,A1,"Очень приятно познакомиться. — Sehr angenehm, Sie kennenzulernen."
Я не понимаю.,Ich verstehe nicht.,ja ni panimáju,Wendung,A1,"Извините, я не понимаю. — Entschuldigung, ich verstehe nicht."
Сколько стоит?,Was kostet das?,skólka stóit,Wendung,A1,Сколько стоит этот билет? — Was kostet diese Fahrkarte?
здоровье,die Gesundheit,sdarówje,Substantiv,A2,Здоровье важнее денег. — Gesundheit ist wichtiger als Geld.
больница,das Krankenhaus,balnítsa,Substantiv,A2,Он лежит в больнице. — Er liegt im Krankenhaus.
аптека,die Apotheke,aptjéka,Substantiv,A2,Аптека рядом с вокзалом. — Die Apotheke ist neben dem Bahnhof.
вокзал,der Bahnhof,waksál,Substantiv,A2,Встретимся на вокзале. — Treffen wir uns am Bahnhof.
аэропорт,der Flughafen,aerapórt,Substantiv,A2,Мы едем в аэропорт. — Wir fahren zum Flughafen.
самолёт,das Flugzeug,samaljót,Substantiv,A2,Самолёт вылетает в семь. — Das Flugzeug startet um sieben.
гостиница,das Hotel,gastínitsa,Substantiv,A2,Мы живём в гостинице. — Wir wohnen im Hotel.
отпуск,der Urlaub,ótpusk,Substantiv,A2,Летом у меня отпуск. — Im Sommer habe ich Urlaub.
путешествие,die Reise,putischéstwije,Substantiv,A2,Это было долгое путешествие. — Das war eine lange Reise.
граница,die Grenze,granítsa,Substantiv,A2,Мы едем за границу. — Wir fahren ins Ausland.
паспорт,der Pass,páspart,Substantiv,A2,Покажите ваш паспорт. — Zeigen Sie Ihren Pass.
очередь,die Warteschlange; die Reihe,ótschirit,Substantiv,A2,Здесь большая очередь. — Hier ist eine lange Schlange.
остановка,die Haltestelle,astanófka,Substantiv,A2,Автобусная остановка там. — Die Bushaltestelle ist dort.
метро,"die Metro, die U-Bahn",mitró,Substantiv,A2,Я еду на метро. — Ich fahre mit der Metro.
дорога,"der Weg, die Straße",daróga,Substantiv,A2,Дорога занимает час. — Der Weg dauert eine Stunde.
центр,das Zentrum,tsentr,Substantiv,A2,Мы живём в центре города. — Wir wohnen im Stadtzentrum.
площадь,der Platz,plóschtschit,Substantiv,A2,На площади много людей. — Auf dem Platz sind viele Leute.
парк,der Park,park,Substantiv,A2,Дети играют в парке. — Die Kinder spielen im Park.
музей,das Museum,musjéj,Substantiv,A2,Музей открыт до шести. — Das Museum ist bis sechs geöffnet.
театр,das Theater,tiátr,Substantiv,A2,Вечером мы идём в театр. — Am Abend gehen wir ins Theater.
ресторан,das Restaurant,ristarán,Substantiv,A2,Этот ресторан очень дорогой. — Dieses Restaurant ist sehr teuer.
кафе,das Café,kafé,Substantiv,A2,Давай встретимся в кафе. — Lass uns im Café treffen.
счёт,die Rechnung; das Konto,schtschot,Substantiv,A2,"Принесите счёт, пожалуйста. — Bringen Sie bitte die Rechnung."
цена,der Preis,tsyná,Substantiv,A2,Цена слишком высокая. — Der Preis ist zu hoch.
скидка,der Rabatt,skítka,Substantiv,A2,Здесь скидка двадцать процентов. — Hier gibt es zwanzig Prozent Rabatt.
рынок,der Markt,rýnak,Substantiv,A2,На рынке фрукты дешевле. — Auf dem Markt ist Obst billiger.
продукты,die Lebensmittel,pradúkty,Substantiv,A2,Я купил продукты на неделю. — Ich habe Lebensmittel für die Woche gekauft.
завтрак,das Frühstück,sáftrak,Substantiv,A2,Завтрак в восемь часов. — Frühstück um acht Uhr.
обед,das Mittagessen,abjét,Substantiv,A2,После обеда я работаю. — Nach dem Mittagessen arbeite ich.
ужин,das Abendessen,úschyn,Substantiv,A2,Ужин уже готов. — Das Abendessen ist schon fertig.
кухня,die Küche,kúchnja,Substantiv,A2,Мама на кухне. — Mama ist in der Küche.
здание,das Gebäude,sdánije,Substantiv,A2,Это старое здание. — Das ist ein altes Gebäude.
этаж,"die Etage, der Stock",etásch,Substantiv,A2,Мы живём на третьем этаже. — Wir wohnen im dritten Stock.
зарплата,das Gehalt,sarpláta,Substantiv,A2,Зарплата здесь неплохая. — Das Gehalt ist hier nicht schlecht.
начальник,"der Chef, der Vorgesetzte",natschálnik,Substantiv,A2,Мой начальник очень строгий. — Mein Chef ist sehr streng.
коллега,der Kollege,kalljéga,Substantiv,A2,Мой коллега помог мне. — Mein Kollege hat mir geholfen.
встреча,das Treffen,fstrjétscha,Substantiv,A2,Встреча начинается в десять. — Das Treffen beginnt um zehn.
собрание,"die Versammlung, das Meeting",sabránije,Substantiv,A2,Завтра у нас собрание. — Morgen haben wir ein Meeting.
документ,das Dokument,dakumjént,Substantiv,A2,"Подпишите документ, пожалуйста. — Unterschreiben Sie bitte das Dokument."
экзамен,die Prüfung,eksámin,Substantiv,A2,Я сдал экзамен. — Ich habe die Prüfung bestanden.
урок,"die Unterrichtsstunde, die Lektion",urók,Substantiv,A2,Урок длится сорок минут. — Die Stunde dauert vierzig Minuten.
университет,die Universität,uniwirsitjét,Substantiv,A2,Она учится в университете. — Sie studiert an der Universität.
ошибка,der Fehler,aschýpka,Substantiv,A2,Это была моя ошибка. — Das war mein Fehler.
правда,die Wahrheit,práwda,Substantiv,A2,Скажи мне правду. — Sag mir die Wahrheit.
причина,der Grund,pritschína,Substantiv,A2,У него была важная причина. — Er hatte einen wichtigen Grund.
проблема,das Problem,prabljéma,Substantiv,A2,У нас небольшая проблема. — Wir haben ein kleines Problem.
возможность,die Möglichkeit,wasmóschnast,Substantiv,A2,У меня нет такой возможности. — Ich habe diese Möglichkeit nicht.
мнение,die Meinung,mnjénije,Substantiv,A2,"По моему мнению, это правильно. — Meiner Meinung nach ist das richtig."
новость,"die Nachricht, die Neuigkeit",nówast,Substantiv,A2,У меня хорошая новость. — Ich habe eine gute Nachricht.
история,die Geschichte,istórija,Substantiv,A2,Он рассказал интересную историю. — Er hat eine interessante Geschichte erzählt.
жизнь,das Leben,schysn,Substantiv,A2,Жизнь в городе дорогая. — Das Leben in der Stadt ist teuer.
любовь,die Liebe,ljubóf,Substantiv,A2,Это была любовь с первого взгляда. — Das war Liebe auf den ersten Blick.
надежда,die Hoffnung,nadjéschda,Substantiv,A2,У нас ещё есть надежда. — Wir haben noch Hoffnung.
настроение,"die Stimmung, die Laune",nastrajénije,Substantiv,A2,У меня хорошее настроение. — Ich habe gute Laune.
подарок,das Geschenk,padárak,Substantiv,A2,Это подарок для тебя. — Das ist ein Geschenk für dich.
праздник,"das Fest, der Feiertag",prásnik,Substantiv,A2,Завтра большой праздник. — Morgen ist ein großer Feiertag.
день рождения,der Geburtstag,djen raschdjénija,Substantiv,A2,У неё завтра день рождения. — Sie hat morgen Geburtstag.
зима,der Winter,simá,Substantiv,A2,Зимой здесь очень холодно. — Im Winter ist es hier sehr kalt.
весна,der Frühling,wisná,Substantiv,A2,Весной всё цветёт. — Im Frühling blüht alles.
лето,der Sommer,ljéta,Substantiv,A2,Летом мы едем на море. — Im Sommer fahren wir ans Meer.
осень,der Herbst,óssin,Substantiv,A2,Осенью часто идёт дождь. — Im Herbst regnet es oft.
дождь,der Regen,doschd,Substantiv,A2,На улице идёт дождь. — Draußen regnet es.
снег,der Schnee,snjek,Substantiv,A2,Вчера выпал снег. — Gestern ist Schnee gefallen.
солнце,die Sonne,sóntse,Substantiv,A2,Сегодня светит солнце. — Heute scheint die Sonne.
море,das Meer,mórje,Substantiv,A2,Я хочу поехать на море. — Ich möchte ans Meer fahren.
лес,der Wald,ljes,Substantiv,A2,Мы гуляли в лесу. — Wir sind im Wald spazieren gegangen.
река,der Fluss,riká,Substantiv,A2,Река очень широкая. — Der Fluss ist sehr breit.
рассказывать,erzählen,rasskásywat,Verb,A2,Он рассказывает о поездке. — Er erzählt von der Reise.
объяснять,erklären,abjisnját,Verb,A2,Учитель объясняет правило. — Der Lehrer erklärt die Regel.
повторять,wiederholen,paftarját,Verb,A2,"Повторите, пожалуйста. — Wiederholen Sie bitte."
запоминать,sich merken,sapaminát,Verb,A2,Я плохо запоминаю имена. — Ich merke mir Namen schlecht.
забывать,vergessen,sabywát,Verb,A2,Я всегда забываю ключи. — Ich vergesse immer die Schlüssel.
вспоминать,sich erinnern,fspaminát,Verb,A2,Я часто вспоминаю о детстве. — Ich erinnere mich oft an die Kindheit.
думать,"denken, glauben",dúmat,Verb,A2,"Я думаю, ты прав. — Ich denke, du hast recht."
считать,zählen; meinen,schtschitát,Verb,A2,"Я считаю, что это ошибка. — Ich meine, das ist ein Fehler."
решать,entscheiden; lösen,rischát,Verb,A2,Мы решаем эту проблему. — Wir lösen dieses Problem.
выбирать,"wählen, aussuchen",wybirát,Verb,A2,"Выбирай, что хочешь. — Such dir aus, was du willst."
пробовать,"probieren, versuchen",próbawat,Verb,A2,Попробуй этот суп. — Probier diese Suppe.
начинать,"anfangen, beginnen",natschinát,Verb,A2,Мы начинаем в девять. — Wir fangen um neun an.
заканчивать,beenden,sakántschiwat,Verb,A2,Я заканчиваю работу в пять. — Ich beende die Arbeit um fünf.
продолжать,"fortsetzen, weitermachen",pradalschát,Verb,A2,"Продолжайте, пожалуйста. — Machen Sie bitte weiter."
готовить,kochen; vorbereiten,gatówit,Verb,A2,Она готовит ужин. — Sie kocht das Abendessen.
отдыхать,sich ausruhen,addychát,Verb,A2,Летом мы отдыхаем на море. — Im Sommer erholen wir uns am Meer.
встречать,"treffen, begegnen",fstritschát,Verb,A2,Я встречаю друга на вокзале. — Ich hole einen Freund am Bahnhof ab.
приходить,kommen (zu Fuß),prichadít,Verb,A2,Он приходит домой поздно. — Er kommt spät nach Hause.
уходить,weggehen,uchadít,Verb,A2,Я ухожу через час. — Ich gehe in einer Stunde.
приезжать,ankommen (mit Fahrzeug),prijischát,Verb,A2,Гости приезжают завтра. — Die Gäste kommen morgen an.
уезжать,"abfahren, wegfahren",ujischát,Verb,A2,Мы уезжаем в понедельник. — Wir fahren am Montag ab.
возвращаться,zurückkehren,waswraschtschátsa,Verb,A2,Он возвращается в среду. — Er kommt am Mittwoch zurück.
оставаться,bleiben,astawátsa,Verb,A2,Я остаюсь дома. — Ich bleibe zu Hause.
искать,suchen,iskát,Verb,A2,Я ищу свой телефон. — Ich suche mein Handy.
находить,finden,nachadít,Verb,A2,Я не нахожу ключи. — Ich finde die Schlüssel nicht.
терять,verlieren,tirját,Verb,A2,Не теряй время. — Verlier keine Zeit.
менять,"ändern, wechseln",minját,Verb,A2,Я меняю деньги в банке. — Ich wechsle Geld in der Bank.
платить,bezahlen,platít,Verb,A2,Я плачу картой. — Ich bezahle mit Karte.
заказывать,bestellen,sakásywat,Verb,A2,Мы заказываем пиццу. — Wir bestellen Pizza.
советовать,"raten, empfehlen",sawjétawat,Verb,A2,"Я советую тебе отдохнуть. — Ich rate dir, dich auszuruhen."
просить,bitten,prasít,Verb,A2,Я прошу тебя помочь. — Ich bitte dich zu helfen.
благодарить,danken,blagadarít,Verb,A2,Я благодарю вас за помощь. — Ich danke Ihnen für die Hilfe.
извиняться,sich entschuldigen,iswinjátsa,Verb,A2,Он извинился за опоздание. — Er hat sich für die Verspätung entschuldigt.
опаздывать,sich verspäten,apásdywat,Verb,A2,Не опаздывай! — Komm nicht zu spät!
торопиться,sich beeilen,tarapítsa,Verb,A2,Не торопись! — Beeil dich nicht!
успевать,"es schaffen, rechtzeitig sein",uspiwát,Verb,A2,Я не успеваю закончить. — Ich schaffe es nicht fertig zu werden.
надеяться,hoffen,nadjéjatsa,Verb,A2,"Надеюсь, всё будет хорошо. — Ich hoffe, alles wird gut."
бояться,sich fürchten,bajátsa,Verb,A2,Она боится собак. — Sie hat Angst vor Hunden.
радоваться,sich freuen,rádawatsa,Verb,A2,Дети радуются подаркам. — Die Kinder freuen sich über die Geschenke.
улыбаться,lächeln,ulybátsa,Verb,A2,Она всегда улыбается. — Sie lächelt immer.
смеяться,lachen,smijátsa,Verb,A2,Мы много смеялись. — Wir haben viel gelacht.
плакать,weinen,plákat,Verb,A2,Ребёнок плачет. — Das Kind weint.
болеть,krank sein; schmerzen,baljét,Verb,A2,Я часто болею зимой. — Ich bin im Winter oft krank.
чувствовать,fühlen,tschústwawat,Verb,A2,Я чувствую себя хорошо. — Ich fühle mich gut.
отдавать,"zurückgeben, abgeben",addawát,Verb,A2,Отдай мне книгу. — Gib mir das Buch zurück.
получать,"bekommen, erhalten",palutschát,Verb,A2,Я получаю письмо каждый месяц. — Ich bekomme jeden Monat einen Brief.
показывать,zeigen,pakásywat,Verb,A2,Покажи мне фотографию. — Zeig mir das Foto.
строить,bauen,stróit,Verb,A2,Здесь строят новый дом. — Hier wird ein neues Haus gebaut.
убирать,"aufräumen, putzen",ubirát,Verb,A2,По субботам я убираю квартиру. — Samstags putze ich die Wohnung.
мыть,"waschen, spülen",myt,Verb,A2,Он моет посуду. — Er spült das Geschirr.
надевать,anziehen,nadiwát,Verb,A2,"Надень куртку, холодно. — Zieh die Jacke an, es ist kalt."
вставать,aufstehen,fstawát,Verb,A2,Я встаю в семь часов. — Ich stehe um sieben Uhr auf.
